Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0711_PP089_SM1_BF1_SLR4,SUCCESS,17.377222222222223,288,,40693.,0.2995,3.00,Feb 13 06:23,Feb 13 23:45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP113_SM5_BF1_SLR4,SUCCESS,18.203611111111112,304,,40451.,0.2950,0.39,Feb 07 18:36,Feb 08 12:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP124_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:14,N/A,,,,,,,,,,
SS0711_PP155_SM4_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:14,N/A,,,,,,,,,,
SS0711_PP205_SM3_BF1_SLR4,SUCCESS,19.0325,320,,41094.,0.3013,2.22,Feb 07 18:37,Feb 08 13:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP232_SM2_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0711_PP251_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0711_PP252_SM3_BF1_SLR4,SUCCESS,20.112222222222222,336,,41125.,0.3043,1.23,Feb 11 22:34,Feb 12 18:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP255_SM1_BF1_SLR4,SUCCESS,18.86722222222222,304,,41036.,0.3022,0.41,Feb 11 21:24,Feb 12 16:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP256_SM4_BF1_SLR4,SUCCESS,16.56388888888889,272,,40635.,0.2933,0.22,Feb 07 18:37,Feb 08 11:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
